rp_id,x,y,floor,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8
12,3.38346,-7.58647,1.5,-41.195081757652744,-51.277552516515875,-42.33273419316535,-83.34103188901415,-37.06987945810466,-42.915276486033214,-110,-37.701329079388714,-41.851331101653955
188,3.38346,3.41353,1.5,-66.38059277476704,-47.71089015906374,-49.40123964186255,-110.0,-53.07508651078666,-51.71743925494301,-110,-27.148233804684747,-38.98732146130441
126,5.38346,-0.586466,1.5,-42.86891212708748,-50.476870717208485,-52.50862487667275,-110.0,-35.361874655550245,-39.8139462811274,-110,-36.28291111842821,-44.49050822566969
108,3.38346,-1.58647,1.5,-52.57449000362233,-56.69834889218329,-40.87532176679828,-110.0,-36.31959482925713,-40.65809342538347,-110,-45.96856405081653,-39.67724509084366
4,-4.61654,-7.58647,1.5,-38.783815717924114,-41.67437251013969,-36.07504198855427,-110.0,-27.9463435284093,-44.296080586480265,-110,-45.20408624792935,-42.9963941063894
151,-1.61654,1.41353,1.5,-32.90522997114786,-39.397547939378015,-34.60737758564761,-110.0,-54.83224619441005,-33.71403829116244,-110,-26.29828714100341,-50.0804173126504
52,-4.61654,-4.58647,1.5,-47.634479275525074,-40.41481834133939,-33.00886489187932,-110.0,-37.95926033881041,-43.05631090370087,-110,-33.469110659507486,-68.16157604714212
120,-0.616541,-0.586466,1.5,-38.68295950402669,-29.076434283715717,-26.02049339624797,-110.0,-43.9184331706452,-40.909290411629506,-110,-36.13507933264254,-47.09354590583472
122,1.38346,-0.586466,1.5,-50.599593923174105,-47.12548368200085,-47.717188905925994,-110.0,-44.75244688376928,-57.07854921584139,-110,-34.04623065868012,-39.43238048280871
191,6.38346,3.41353,1.5,-57.06001771698705,-62.07123090374875,-54.69180407053482,-103.84049460437863,-48.970195344935625,-32.046328931713774,-110,-33.29928626336959,-43.849777273421765
148,-4.61654,1.41353,1.5,-41.45529180194537,-31.395992620097193,-45.96389636622408,-110.0,-58.20847238335175,-36.748254342269114,-110,-36.99542494777263,-45.90339404028983
51,-5.61654,-4.58647,1.5,-32.51591830513638,-38.51421966291431,-36.07255898019886,-110.0,-35.716934624710305,-49.67911455813908,-110,-41.87055635137241,-44.06502883244275
212,-4.61654,5.41353,1.5,-44.00211008895376,-42.81120495359768,-37.477823850338055,-110.0,-50.33665659288186,-50.05893671031403,-110,-31.071292358545065,-46.00997204977805
143,6.38346,0.413534,1.5,-48.86722842743126,-51.76305446600047,-43.78185562241755,-110.0,-35.81164147409505,-28.666585605863258,-110,-33.35115140037994,-34.78817079902741
123,2.38346,-0.586466,1.5,-46.516055912381546,-69.43944545146564,-61.66157787044106,-110.0,-37.52046797095154,-47.56547621575997,-110,-41.3499156283753,-36.506930337143125
70,-2.61654,-3.58647,1.5,-34.412723359047966,-38.809442760994294,-31.092690739529804,-110.0,-47.8255967096475,-44.07202517870249,-110,-38.37411927451349,-31.85624213345428
20,-4.61654,-6.58647,1.5,-34.40489968841071,-42.670983192288205,-33.128213142880504,-82.63115981955075,-45.80025588631676,-50.86311032478129,-110,-37.7437481086467,-48.11861983732221
219,2.38346,5.41353,1.5,-54.00043776681215,-26.97765136150656,-54.765190286839776,-110.0,-44.29996592634857,-34.83808041407138,-110,-38.593075621625815,-40.56074890922565
200,-0.616541,4.41353,1.5,-48.25209457033532,-31.04643339053225,-36.65665125862789,-110.0,-59.39001102063169,-46.166782211356136,-110,-33.85914929981186,-47.1926658998588
103,-1.61654,-1.58647,1.5,-30.65614709901582,-34.71352903312557,-39.94139835161206,-110.0,-47.400547125499166,-42.0706508662263,-110,-34.36909859618031,-55.24939999690972
182,-2.61654,3.41353,1.5,-38.79507712319331,-38.3558302256696,-41.177524815876296,-110.0,-47.54729828796262,-32.49002766776609,-110,-37.01547727413586,-45.02568362596656
174,5.38346,2.41353,1.5,-50.88678003716659,-59.333214030490254,-41.952223072366706,-110.0,-30.660729269383793,-32.344723910924344,-110,-34.83748932021856,-44.352363953203906
156,3.38346,1.41353,1.5,-57.088461271293546,-48.30647375107262,-54.43140079977606,-110.0,-36.49184999063825,-40.98845498221446,-110,-31.412805826099152,-45.28302919666298
185,0.383459,3.41353,1.5,-47.538152786564495,-43.60547953904224,-47.37137980597519,-110.0,-30.20635524851332,-34.26672371365335,-110,-29.27012280581094,-32.237838020011
13,4.38346,-7.58647,1.5,-45.678323036110505,-47.480260268801054,-39.95846356734785,-110.0,-41.8724920182321,-42.649358901583625,-110,-34.47978286551186,-42.958858628235305
65,-7.61654,-3.58647,1.5,-38.5496908980678,-48.57277642766,-32.501081518438575,-110.0,-39.56342148340338,-44.88479224284571,-110,-37.19102219753933,-46.3682901173803
170,1.38346,2.41353,1.5,-50.99912591006672,-46.75569641436344,-45.09312495545738,-110.0,-44.83687663034245,-44.46889040961377,-110,-26.01457423576831,-45.075766226124394
208,7.38346,4.41353,1.5,-53.04372213889652,-33.24323190829162,-56.608170848851834,-110.0,-53.31787843858773,-23.786383521838317,-110,-26.82686148116182,-40.706714227010075
123,2.38346,-0.586466,1.5,-45.85696302680699,-66.7006880577103,-66.61134084729143,-110.0,-39.9773584751581,-47.65312947094452,-110,-38.353219169273025,-28.558745395268673
122,1.38346,-0.586466,1.5,-47.64976467315535,-51.03565864696476,-43.242979627698475,-110.0,-37.48788157724211,-52.04042185853873,-110,-33.723366344513025,-32.46810165788126
79,6.38346,-3.58647,1.5,-48.24896754775522,-53.754069761993065,-40.87145909986118,-110.0,-39.515664337221295,-38.80671653548371,-110,-58.02270059763523,-34.92003559710579
143,6.38346,0.413534,1.5,-49.85677619614861,-51.23700986502982,-43.608060321749306,-110.0,-31.796170989855963,-32.17207655283211,-110,-38.27547445687149,-35.61635900723085
150,-2.61654,1.41353,1.5,-32.647470969383,-48.47274698087592,-43.07808679561483,-110.0,-38.43118973428848,-46.29707499241593,-110,-31.483866544927952,-40.897170332875035
217,0.383459,5.41353,1.5,-48.70133450474365,-28.24446852298469,-44.380678469030066,-110.0,-52.87228840599697,-38.22460529775451,-110,-20.90809199640916,-38.45711352381025
125,4.38346,-0.586466,1.5,-45.1905590610697,-53.6746983396597,-45.68243506510295,-110.0,-30.229974960476373,-30.693700480119176,-110,-41.89606256794909,-39.690118972955254
148,-4.61654,1.41353,1.5,-38.8586082196564,-35.286920490424336,-43.03347680738524,-110.0,-63.26561450815554,-39.20396632061351,-110,-25.856474684791493,-43.25892072805373
166,-2.61654,2.41353,1.5,-50.06252275744665,-35.31498728937018,-46.88917889515055,-110.0,-45.78453817602461,-43.74011357225152,-110,-31.68370641423539,-52.1723501780432
167,-1.61654,2.41353,1.5,-44.86170058923797,-36.34603453660782,-41.61027456225971,-110.0,-42.34365648990473,-42.0120725016583,-110,-30.144962712306793,-44.73513064821107
40,-0.616541,-5.58647,1.5,-53.507822645337285,-48.298080145520416,-28.561184870133708,-110.0,-37.59933477480688,-46.79136828943406,-110,-48.179532782285435,-45.59160496786635
156,3.38346,1.41353,1.5,-55.87896687345216,-50.050376613084985,-54.314045677192254,-110.0,-35.57455479312856,-44.39121805282724,-110,-39.0308165266941,-51.16396958088929
48,7.38346,-5.58647,1.5,-51.553466790669326,-40.24943051565996,-44.38594063535044,-95.92777735826736,-38.65837990632272,-34.58642119530561,-110,-41.63468349625269,-26.090483370260472
216,-0.616541,5.41353,1.5,-55.9994886313104,-19.744164547652936,-37.514700556003646,-110.0,-51.02158153840208,-61.821389444710974,-110,-37.227432052803664,-59.68512715136079
219,2.38346,5.41353,1.5,-48.09973460486245,-34.27232741574384,-56.82696705585561,-110.0,-42.78971755192638,-34.93698217566691,-110,-40.682695669328595,-35.385175731027374
158,5.38346,1.41353,1.5,-57.91928741538012,-68.1775866987673,-44.17471458262479,-110.0,-27.33784156292369,-54.38892852672535,-110,-47.37673924744091,-45.94244315032418
30,5.38346,-6.58647,1.5,-45.34050453129784,-50.115114273404835,-50.436060592887856,-76.82774561851329,-39.97519413793171,-40.00825703633203,-110,-38.94982232112027,-22.68239379750313
77,4.38346,-3.58647,1.5,-50.40675532982637,-51.81176704720004,-39.77711155268552,-110.0,-35.10271423424202,-35.73136793965388,-110,-42.23314276751968,-34.53570856962904
89,0.383459,-2.58647,1.5,-49.63776321253639,-58.22292817687255,-48.13258211966741,-110.0,-26.803775149904872,-42.24032772447524,-110,-32.30166952284754,-37.861341276847135
238,5.38346,6.41353,1.5,-58.35912815759212,-34.16550107020108,-40.92561209371455,-110.0,-42.50621350961114,-30.442983235850917,-110,-35.24962878853085,-38.78817430284333
29,4.38346,-6.58647,1.5,-50.34565259084785,-57.83232687556507,-46.04415058279642,-77.55054661710369,-28.38019222367185,-31.474882406843307,-110,-42.357332088058406,-32.07583025799866
20,-4.61654,-6.58647,1.5,-38.02608073035989,-42.469907114380895,-33.21625657757502,-82.54470099742524,-41.56078656300105,-55.509454478386225,-110,-36.07585365704379,-38.46526777716547
7,-1.61654,-7.58647,1.5,-37.21608824147561,-41.07392075514489,-37.15764943919952,-110.0,-23.19635352152481,-42.42630016392138,-110,-38.32159635159939,-57.878839382887264
55,-1.61654,-4.58647,1.5,-30.33454725566791,-52.310983368977105,-29.556042906708917,-110.0,-42.687221786330326,-48.39902945496176,-110,-41.738908630877056,-41.802360453062875
68,-4.61654,-3.58647,1.5,-44.6514122736679,-35.39730748091919,-32.85494464656389,-110.0,-37.8416990660559,-46.25953748647798,-110,-40.2896095152448,-59.64673456397605
109,4.38346,-1.58647,1.5,-56.61425581725948,-67.56598590088079,-39.62040240881785,-110.0,-40.606286694744135,-30.900877655636823,-110,-36.628750802332455,-36.69353433863446
187,2.38346,3.41353,1.5,-46.43869417140543,-40.82268164404286,-59.89237343986983,-110.0,-46.08527656485215,-34.15756690084093,-110,-29.949554529335305,-42.190774419817856
31,6.38346,-6.58647,1.5,-53.1103494834198,-47.603225370624095,-27.718442132081336,-80.01070223091902,-37.146542246008224,-41.51201352717629,-110,-42.55001393501652,-40.386211238628775
22,-2.61654,-6.58647,1.5,-36.53160401609347,-44.52821738945755,-31.11341373197711,-80.10042804095265,-41.14254165287744,-39.45888776372374,-110,-42.184594947715745,-43.37522515135131
170,1.38346,2.41353,1.5,-54.390742448563806,-48.43047461152732,-43.40545389878137,-110.0,-38.3077776454472,-41.60817433812398,-110,-29.806678347751543,-48.388453649616615
154,1.38346,1.41353,1.5,-41.93371007142537,-50.82981483107155,-46.94016030046877,-110.0,-43.85807030360226,-37.31022971890498,-110,-31.45116842425537,-34.143088401851095
66,-6.61654,-3.58647,1.5,-49.59807787508424,-44.612393119476415,-33.92863896975373,-110.0,-41.62542684522929,-55.73593254465725,-110,-43.25005367695224,-54.901878954690666
6,-2.61654,-7.58647,1.5,-35.87103141121667,-46.30964776720244,-30.657568929465448,-110.0,-47.54863792315474,-57.26448487007695,-110,-38.21321788708333,-43.19741964535088
164,-4.61654,2.41353,1.5,-35.32171164805807,-41.0401852777572,-38.58553763274721,-110.0,-50.73856748786989,-46.26222740508629,-110,-32.82479926155121,-55.468503982661815
216,-0.616541,5.41353,1.5,-48.14446803222173,-24.78792806504173,-35.72450998134068,-110.0,-49.61416815416785,-51.90758299610961,-110,-46.617947139644066,-56.757506691705615
153,0.383459,1.41353,1.5,-49.298776488090446,-52.75472606185914,-41.60114871938194,-110.0,-27.959563381868417,-31.36587065590459,-110,-26.51536227704487,-35.94275258332666
30,5.38346,-6.58647,1.5,-47.37170252442113,-50.58133827401866,-43.04867252085215,-71.83012810164335,-32.205025735287805,-43.17660005615431,-110,-42.18649600692954,-24.57488682869108
48,7.38346,-5.58647,1.5,-55.29724053433195,-51.98379192761365,-40.00724230786738,-98.00498514099893,-36.01195005261864,-37.817055197006475,-110,-43.44537374936116,-23.973916190547836
203,2.38346,4.41353,1.5,-53.970006429960065,-45.09115149047491,-59.46061279539459,-110.0,-40.93735823132242,-40.2837507420118,-110,-42.8536117735482,-32.4476032722578
168,-0.616541,2.41353,1.5,-47.775108640302335,-43.01106417975793,-29.24846287792549,-110.0,-37.9997681568978,-42.0334300363225,-110,-30.221101269292404,-36.56344700793286
171,2.38346,2.41353,1.5,-46.90938096626458,-54.41230895863106,-42.70923282138631,-110.0,-46.06539743504914,-38.70825944650972,-110,-30.77495660043304,-40.334823708378366
96,7.38346,-2.58647,1.5,-55.15940621261905,-36.087781535961994,-42.97622847249583,-110.0,-45.597667239438685,-36.61730521482614,-110,-48.43168983958291,-36.66650875545153
63,6.38346,-4.58647,1.5,-45.796233535814224,-51.0462028978775,-38.049610532280006,-91.91719252958862,-31.271511924291136,-34.52183411138486,-110,-28.632895527469024,-32.15518167522051
89,0.383459,-2.58647,1.5,-43.03842125286726,-61.20837514454796,-46.21878011556795,-110.0,-31.138311794624688,-40.70152664764488,-110,-30.60711179710742,-42.08776166788291
113,-7.61654,-0.586466,1.5,-40.789295908281815,-45.836107151208594,-40.43364602640149,-110.0,-36.83460342997853,-37.628867248571694,-110,-48.94207724090744,-47.76734951665804
221,4.38346,5.41353,1.5,-40.94335560858116,-40.97151331642728,-47.82890446812502,-110.0,-34.96963098386066,-46.21638045087845,-110,-40.760883636244294,-48.57692996938682
159,6.38346,1.41353,1.5,-56.96344343485559,-52.32156090099658,-38.01934981165383,-110.0,-39.35183266512827,-30.44527474027716,-110,-61.15043564090949,-44.57445930339962
112,7.38346,-1.58647,1.5,-49.3727524305944,-33.490993224459,-38.78371635434375,-110.0,-38.23609046391021,-36.82851684453058,-110,-40.79546201902831,-34.719919772721795
197,-3.61654,4.41353,1.5,-44.59792178578075,-46.922175284891665,-41.23863954358376,-110.0,-47.709137454183384,-53.88589553754493,-110,-32.01211987394027,-54.539065907912786
181,-3.61654,3.41353,1.5,-42.51573681143682,-43.26127493058422,-46.00530969106397,-110.0,-44.1538288592959,-38.7834465622205,-110,-31.966194943979367,-59.89949037341645
167,-1.61654,2.41353,1.5,-43.53549165475006,-33.80302226205673,-39.50185369048303,-110.0,-45.9297748496934,-48.945690717368215,-110,-30.22078397763509,-47.33669844761763
70,-2.61654,-3.58647,1.5,-29.27898534615295,-31.807104725862,-29.589023976646267,-110.0,-45.31164893139723,-38.90293583846698,-110,-34.43342930013295,-38.28888411971704
67,-5.61654,-3.58647,1.5,-37.96359669953717,-36.61930517674925,-30.77545790964718,-110.0,-37.29935946471386,-49.762271063536666,-110,-49.56846028431089,-49.980904034241675
19,-5.61654,-6.58647,1.5,-39.04624247825189,-64.29848789659108,-42.57246137305236,-110.0,-40.46603295672986,-45.0311021112455,-110,-48.83518626481107,-46.70731136190698
49,-7.61654,-4.58647,1.5,-39.39426033998104,-45.45727269544486,-37.987259160179306,-110.0,-40.665831460046455,-49.76113531422467,-110,-48.79542489256509,-38.78748209466352
239,6.38346,6.41353,1.5,-59.73361123336095,-30.174405620214735,-65.08402550389705,-110.0,-39.91221518462575,-30.67510087091331,-110,-39.718716065597945,-34.59605636258661
88,-0.616541,-2.58647,1.5,-58.41112312536747,-38.67331392132036,-33.07975592847496,-110.0,-66.05659733689458,-49.41026962427926,-110,-33.85492678996657,-44.041798353923035
64,7.38346,-4.58647,1.5,-53.49610810166129,-47.13199058315095,-38.6577425125712,-93.72352596540624,-44.59455981014785,-33.910758365655845,-110,-41.14124119218287,-29.965962747823557
190,5.38346,3.41353,1.5,-53.21256043042485,-53.85936444111416,-43.76686603664829,-110.0,-36.46963929898251,-29.69562480029879,-110,-38.19107064359532,-37.05104857543736
92,3.38346,-2.58647,1.5,-43.628232446940416,-68.91747490271999,-36.790937292560976,-110.0,-43.33974691317675,-31.828128754393884,-110,-36.709205311873994,-39.5569963408665
63,6.38346,-4.58647,1.5,-45.387199905235754,-51.676272607601234,-38.84380493466461,-94.1496102120634,-35.083734348378435,-34.24871745865659,-110,-28.714217167001134,-33.45038712033659
232,-0.616541,6.41353,1.5,-35.00245940154171,-19.124144486801377,-38.52676702928841,-110.0,-59.906815849083536,-57.06708100631924,-110,-53.46843929551695,-49.90289277922093
70,-2.61654,-3.58647,1.5,-29.051976672888053,-35.119508663731224,-33.11750171112434,-110.0,-45.42158062628271,-36.77231049593025,-110,-34.201648137382996,-37.67955600759076
209,-7.61654,5.41353,1.5,-24.281554639560667,-65.49318993475868,-31.757564909058154,-110.0,-59.64682690402968,-56.85118990464832,-110,-38.501235342240776,-50.63080085531358
216,-0.616541,5.41353,1.5,-54.52411668724892,-24.63726236493201,-32.1586418915998,-110.0,-49.12980079665349,-48.791109615915474,-110,-46.181860044177306,-52.60574936666514
28,3.38346,-6.58647,1.5,-44.059773560411365,-42.34252829534813,-31.147324091490052,-80.1222737642087,-36.78352500569483,-39.020531503153414,-110,-32.54552147864504,-38.97777846705745
116,-4.61654,-0.586466,1.5,-40.11689021485827,-40.42099204630963,-31.13408363974332,-110.0,-48.52893901282302,-33.22792748438604,-110,-40.75549044840755,-37.1852298707554
205,4.38346,4.41353,1.5,-48.257062951577176,-29.739407916470427,-46.821783008111176,-110.0,-35.882954375700315,-45.56877747737519,-110,-41.19806202234248,-42.55623558024967
73,0.383459,-3.58647,1.5,-43.472097911313384,-47.51643731973242,-54.69182461293023,-110.0,-35.489786873919755,-35.44739882321001,-110,-35.791188987257414,-38.144759449850255
236,3.38346,6.41353,1.5,-54.05025563974379,-33.79204578021986,-59.604579124599205,-110.0,-42.1081536541655,-30.3891828596091,-110,-50.347065879696544,-48.57918743430939
205,4.38346,4.41353,1.5,-43.790970539452275,-27.846928061203545,-46.52875872390718,-110.0,-43.34387762481777,-47.60351049015674,-110,-42.47057883481805,-37.12622089879118
14,5.38346,-7.58647,1.5,-55.22627047079895,-54.11017518258322,-43.77282985612888,-110.0,-40.13312681639204,-39.859835766278685,-110,-43.15151432046305,-28.84622453993423
68,-4.61654,-3.58647,1.5,-46.228701592971504,-38.64067130135023,-33.39440632221161,-110.0,-36.33550115639107,-49.46034326855588,-110,-33.32270057382034,-60.33870289479637
231,-1.61654,6.41353,1.5,-34.58183491382563,-24.50217738237441,-38.74412844789998,-110.0,-54.375625682047875,-53.926898171553034,-110,-45.68889903326208,-63.99755638682042
43,2.38346,-5.58647,1.5,-53.879408647948694,-60.44215623230846,-41.30953774802199,-94.02425347709648,-27.512866267355985,-33.89855284851603,-110,-32.02353970168463,-32.81250495797654
169,0.383459,2.41353,1.5,-47.502427432950775,-53.578062449905914,-49.8672205858794,-110.0,-30.777162439255036,-31.7981249728647,-110,-23.47333971221855,-65.03080414259634
176,7.38346,2.41353,1.5,-56.87803502657199,-63.866819551298114,-55.35370151302859,-110.0,-36.65874950545189,-30.38685658973155,-110,-29.297811795158605,-49.8376170985414
142,5.38346,0.413534,1.5,-46.784549330323394,-39.496560540913165,-50.72984751032061,-110.0,-50.11698134464672,-24.979444532323928,-110,-29.060206093499293,-38.46245488032044
62,5.38346,-4.58647,1.5,-52.325174709804166,-52.92103952902728,-44.2235817764865,-110.0,-34.962383182818485,-42.90557175016551,-110,-41.31882288688274,-39.15381122130414
34,-6.61654,-5.58647,1.5,-46.306053829147416,-41.068210981322714,-37.04609694231802,-110.0,-36.826898675346584,-50.69198862409418,-110,-40.90263505799228,-41.85389112257774
45,4.38346,-5.58647,1.5,-46.81295164084663,-43.93044885941228,-28.98280822419325,-97.24996106138512,-29.81163940580899,-36.486093669184726,-110,-43.54820949536732,-37.953342165644465
149,-3.61654,1.41353,1.5,-38.677852725558495,-39.72699647342845,-39.64418188993908,-110.0,-43.26292114786652,-39.889872384506745,-110,-37.443991209222276,-50.71580036062856
16,7.38346,-7.58647,1.5,-43.059891821509936,-55.38301933942927,-44.31416738058648,-82.23665686146697,-48.44201764097046,-37.4326287662335,-110,-33.8772829913566,-29.90898144022299
94,5.38346,-2.58647,1.5,-47.39408481342286,-49.65767455673768,-41.15226622178722,-110.0,-44.3592987691495,-45.605580116133964,-110,-40.3191716620131,-38.19046099253429
180,-4.61654,3.41353,1.5,-38.658717655765045,-48.50192694485001,-36.81869598411993,-110.0,-52.21831097001906,-53.14409973258147,-110,-33.90221312011531,-41.758001011637575
56,-0.616541,-4.58647,1.5,-45.15048621653652,-37.61440354313035,-30.595606708035117,-110.0,-56.93661098142863,-50.53644895947085,-110,-34.83406008171465,-36.22435391964356
223,6.38346,5.41353,1.5,-55.44806578722991,-37.69289005717287,-54.1386004018517,-110.0,-45.521743446275075,-39.96679554319525,-110,-40.35831150319343,-38.3650960418275
206,5.38346,4.41353,1.5,-57.23228711948547,-32.618220004687316,-48.75452819603045,-110.0,-46.807341756242614,-41.41148854734463,-110,-38.74729741877907,-39.37745155536291
85,-3.61654,-2.58647,1.5,-41.75471106085821,-49.60386770164683,-40.16709774928298,-110.0,-42.4021629925404,-39.61400144811455,-110,-37.03896338428531,-52.20974514178709
41,0.383459,-5.58647,1.5,-58.42628046505676,-61.09654390123659,-60.47448321281088,-110.0,-29.10046611157367,-43.99242427720518,-110,-36.01561249398873,-39.85370810600226
156,3.38346,1.41353,1.5,-56.01206949883198,-42.39567665242603,-54.989945119527945,-110.0,-37.84726704863301,-38.37253394274501,-110,-35.875576347816704,-48.55775203160004
185,0.383459,3.41353,1.5,-45.66687287245914,-47.217946543682146,-54.39602440810264,-110.0,-32.84662401059423,-38.833166546263726,-110,-29.450152223727898,-37.27772081628459
151,-1.61654,1.41353,1.5,-30.45551570607088,-32.011355553772354,-36.15011458984463,-110.0,-58.55344854603708,-41.6259651640755,-110,-33.733810233890196,-54.44834447572538
29,4.38346,-6.58647,1.5,-50.31593304357027,-55.18792259095215,-38.52013019665899,-71.74872837482062,-31.765504936990187,-33.50829187717832,-110,-33.499435280754454,-31.02972938456796
100,-4.61654,-1.58647,1.5,-46.30049266092081,-39.692129794627874,-36.10327010702783,-110.0,-38.05604981212971,-47.822425394019746,-110,-31.179888408144063,-46.57735556914613
19,-5.61654,-6.58647,1.5,-42.19248474428136,-56.61599578670623,-44.439121932314784,-110.0,-49.61219807817095,-44.2052473553089,-110,-39.250887185334065,-45.152672214110744
38,-2.61654,-5.58647,1.5,-46.36590449417324,-39.69766274036934,-28.843468840948653,-110.0,-35.67845525485512,-44.45911556859542,-110,-46.55541309768706,-38.47571588323115
239,6.38346,6.41353,1.5,-60.308601963146984,-33.95579696258098,-62.48044237992146,-110.0,-40.39125217959379,-35.349626382135575,-110,-45.07746502291379,-37.1457369417115
114,-6.61654,-0.586466,1.5,-31.374550830958007,-40.07347528573073,-40.76997082218806,-110.0,-53.32932070023415,-37.219661934088926,-110,-54.40711604219907,-48.910301751714464
173,4.38346,2.41353,1.5,-45.02417777484357,-37.048406187453566,-40.97999542484005,-110.0,-38.974916434436864,-27.268702753745025,-110,-34.591776459663144,-49.49929637181196
99,-5.61654,-1.58647,1.5,-37.17094272523659,-45.726715316334875,-39.699227651237635,-110.0,-37.88988512155494,-50.592343272737885,-110,-46.18970898406846,-42.53116563927002
139,2.38346,0.413534,1.5,-49.34839773200101,-55.71739669726838,-51.4778076417387,-110.0,-35.397457772869934,-34.158734615922334,-110,-40.792803693922856,-37.0194541461676
109,4.38346,-1.58647,1.5,-50.00624675299884,-68.36483834972061,-39.94304467528527,-110.0,-40.15368542142968,-31.716052951523693,-110,-32.89165533088395,-34.474905877938816
156,3.38346,1.41353,1.5,-59.67689596149991,-46.32209443372204,-50.26647611720784,-110.0,-41.30666335545833,-39.25015998384461,-110,-41.22830081007692,-46.767899339252395
237,4.38346,6.41353,1.5,-57.20869089422284,-47.94900627175145,-47.97708784670751,-110.0,-36.58361528211934,-30.102374286621735,-110,-32.65920301889974,-41.96282721526377
87,-1.61654,-2.58647,1.5,-40.04511075946821,-38.38315538126373,-43.80733918609322,-110.0,-44.389437454168544,-45.864587765704904,-110,-39.04302287583157,-40.45866722034983
94,5.38346,-2.58647,1.5,-47.41295717072752,-56.24835156624925,-42.82094372123543,-110.0,-47.18209811357336,-40.76384025263502,-110,-40.01920626736491,-37.80309399749262
235,2.38346,6.41353,1.5,-48.731870080831,-31.376618722666247,-52.419994147312835,-110.0,-48.96304818802842,-52.33883396443082,-110,-48.91092590427436,-51.00788783889978
208,7.38346,4.41353,1.5,-48.847221433025254,-33.62331495734424,-57.07829100187987,-110.0,-52.40346538531119,-27.130504257621496,-110,-34.66650033278201,-40.995758802108845
165,-3.61654,2.41353,1.5,-39.72417660691379,-28.278017226312095,-34.50864773398327,-110.0,-42.18511482765811,-60.09740130486278,-110,-31.856239609700847,-50.75902087172333
120,-0.616541,-0.586466,1.5,-38.89330282395358,-27.742307329468854,-28.072159165092664,-110.0,-47.36100479415153,-41.8428571405636,-110,-30.55836968926559,-43.42637258110737
208,7.38346,4.41353,1.5,-54.37881669615896,-37.74267154898839,-58.990472501225504,-110.0,-53.69287745473877,-22.006625891710417,-110,-31.34047687890897,-30.767277113076265
205,4.38346,4.41353,1.5,-46.26412730031145,-34.638548054427126,-49.16803520432391,-110.0,-37.239448755609615,-43.95950991708548,-110,-38.77895662953037,-37.30266172813472
